,DispNum3,DispNum4,StDay,StMon,StYear,EndDay,EndMon,EndYear,Outcome,Settle,Fatality,FatalPre,MaxDur,MinDur,HiAct,HostLev,Recip,NumA,NumB,Link1,Link2,Link3,Ongo2010,Version
0,2,,,7,1902,24.0,1,1903,6.0,1.0,0.0,0.0,208,178,7,3,0,1,1,0,0,0.0,0,4.01
1,3,,2.0,5,1913,25.0,10,1913,4.0,3.0,0.0,0.0,177,177,8,3,0,1,1,0,0,0.0,0,4.01
2,4,,15.0,5,1946,13.0,11,1946,5.0,3.0,2.0,,183,183,16,4,1,1,1,0,0,0.0,0,4.01
3,7,,13.0,10,1951,26.0,1,1952,1.0,3.0,2.0,,106,106,17,4,1,1,1,0,0,0.0,0,4.01
4,8,,,7,1856,14.0,3,1857,1.0,2.0,6.0,,257,227,20,5,1,1,1,0,0,0.0,0,4.01
5,9,,29.0,12,1889,10.0,1,1890,6.0,1.0,0.0,0.0,13,13,7,3,0,1,1,0,0,0.0,0,4.01
6,11,,11.0,3,1938,12.0,3,1938,4.0,1.0,0.0,0.0,2,2,14,4,0,1,1,0,0,0.0,0,4.01
7,12,,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01
8,13,,6.0,4,1863,17.0,8,1863,1.0,2.0,,,134,134,15,4,0,3,1,0,0,0.0,0,4.01
9,14,,15.0,10,1895,31.0,12,1895,4.0,3.0,0.0,0.0,78,78,7,3,0,1,1,0,0,0.0,0,4.01
10,15,,,1,1839,23.0,3,1839,6.0,1.0,0.0,0.0,82,52,15,4,1,1,1,0,0,0.0,0,4.01
11,16,,25.0,12,1897,5.0,2,1898,4.0,3.0,0.0,0.0,43,43,7,3,0,2,2,0,0,0.0,0,4.01
12,19,,15.0,1,1848,23.0,3,1849,5.0,1.0,6.0,,434,434,20,5,1,1,3,0,0,0.0,0,4.01
13,20,,18.0,11,1945,9.0,5,1946,3.0,1.0,0.0,0.0,173,173,7,3,0,1,1,0,0,0.0,0,4.01
14,21,,21.0,11,1912,3.0,12,1912,5.0,3.0,0.0,0.0,13,13,10,3,0,1,2,0,0,0.0,0,4.01
15,22,,9.0,6,1940,17.0,6,1940,1.0,2.0,,,9,9,16,4,1,1,1,0,0,0.0,0,4.01
16,23,,,3,1939,18.0,10,1939,4.0,1.0,0.0,0.0,232,202,13,4,0,1,1,0,0,0.0,0,4.01
17,25,,2.0,8,1831,2.0,2,1832,5.0,3.0,,,185,185,17,4,1,1,3,0,0,0.0,0,4.01
18,26,,21.0,3,1948,25.0,7,1949,5.0,3.0,0.0,0.0,492,492,16,4,1,1,3,0,0,0.0,0,4.01
19,27,,25.0,7,1961,28.0,10,1961,5.0,3.0,0.0,0.0,96,96,17,4,1,4,4,0,0,0.0,0,4.01
20,28,,19.0,7,1961,5.0,9,1961,6.0,1.0,3.0,,49,49,17,4,1,1,1,0,0,0.0,0,4.01
21,30,,6.0,10,1908,31.0,3,1909,3.0,1.0,,,177,177,17,4,1,1,1,0,0,0.0,0,4.01
22,31,,30.0,5,1900,16.0,8,1900,1.0,2.0,6.0,,79,79,20,5,1,8,1,0,0,0.0,0,4.01
23,38,,29.0,12,1837,5.0,1,1838,5.0,3.0,0.0,0.0,8,8,16,4,1,1,1,0,0,0.0,0,4.01
24,40,,10.0,4,1928,18.0,11,1928,4.0,1.0,3.0,,223,223,17,4,1,1,1,0,0,0.0,0,4.01
25,41,,27.0,5,1929,3.0,12,1929,,,6.0,,191,191,20,5,1,1,1,0,0,0.0,0,4.01
26,43,,14.0,11,1897,6.0,3,1898,1.0,1.0,0.0,0.0,113,113,17,4,1,1,1,0,0,0.0,0,4.01
27,50,,11.0,2,1953,19.0,1,1956,5.0,3.0,2.0,,1073,1073,17,4,1,3,2,0,0,0.0,0,4.01
28,51,,24.0,6,1950,27.0,7,1953,5.0,1.0,6.0,,1130,1130,20,5,1,2,15,0,0,0.0,0,4.01
29,53,,22.0,8,1956,23.0,8,1956,5.0,3.0,0.0,0.0,2,2,16,4,1,1,1,0,0,0.0,0,4.01
30,55,,29.0,8,1923,27.0,9,1923,3.0,1.0,0.0,0.0,30,30,16,4,0,1,1,0,0,0.0,0,4.01
31,56,,15.0,2,1897,15.0,8,1897,4.0,2.0,,,182,182,16,4,0,6,2,0,0,0.0,0,4.01
32,57,,31.0,5,1853,30.0,3,1856,2.0,1.0,6.0,,1035,1035,20,5,1,1,5,0,0,0.0,0,4.01
33,61,,28.0,1,1962,12.0,12,1962,4.0,1.0,0.0,0.0,319,319,16,4,1,1,2,0,0,0.0,0,4.01
34,64,,5.0,4,1826,6.0,10,1826,4.0,1.0,0.0,0.0,185,185,7,3,0,1,1,0,0,0.0,0,4.01
35,65,,1.0,7,1883,1.0,7,1883,4.0,1.0,0.0,0.0,1,1,1,2,0,1,1,0,0,0.0,0,4.01
36,67,,25.0,7,1934,31.0,7,1934,5.0,3.0,0.0,0.0,7,7,7,3,0,3,1,0,0,0.0,0,4.01
37,68,,,1,1900,9.0,2,1900,4.0,2.0,0.0,0.0,40,10,7,3,0,2,1,0,0,0.0,0,4.01
38,69,,25.0,3,1914,29.0,11,1916,1.0,2.0,0.0,0.0,981,981,16,4,0,1,1,0,0,0.0,0,4.01
39,71,,17.0,1,1850,27.0,4,1850,4.0,1.0,0.0,0.0,101,101,13,4,0,1,1,0,0,0.0,0,4.01
40,72,,23.0,6,1934,23.0,6,1934,4.0,3.0,0.0,0.0,1,1,7,3,0,1,1,0,0,0.0,0,4.01
41,77,,18.0,9,1898,4.0,11,1898,4.0,1.0,0.0,0.0,48,48,7,3,1,1,1,0,0,0.0,0,4.01
42,78,,17.0,7,1847,17.0,1,1848,5.0,3.0,0.0,0.0,185,185,7,3,0,1,1,0,0,0.0,0,4.01
43,86,,25.0,3,1907,23.0,3,1908,1.0,3.0,,,365,365,17,4,1,2,1,0,0,0.0,0,4.01
44,88,,6.0,7,1870,25.0,2,1871,2.0,2.0,6.0,,235,235,20,5,1,4,1,0,0,0.0,0,4.01
45,89,,21.0,9,1822,13.0,11,1823,1.0,2.0,6.0,,419,419,20,5,1,4,1,0,0,0.0,0,4.01
46,91,,22.0,5,1887,22.0,5,1887,5.0,3.0,0.0,0.0,1,1,3,2,0,1,1,0,0,0.0,0,4.01
47,92,,18.0,2,1964,29.0,2,1964,1.0,2.0,2.0,,12,12,17,4,1,1,1,0,0,0.0,0,4.01
48,95,,,10,1909,,4,1910,4.0,1.0,0.0,0.0,212,153,7,3,0,1,1,0,0,0.0,0,4.01
49,96,,26.0,4,1886,7.0,6,1886,4.0,3.0,0.0,0.0,43,43,13,4,0,5,1,0,0,0.0,0,4.01
50,100,,13.0,12,1914,9.0,9,1915,4.0,1.0,0.0,0.0,271,271,16,4,0,1,1,0,0,0.0,0,4.01
51,104,,,3,1880,,7,1880,6.0,1.0,0.0,0.0,153,93,7,3,1,1,1,0,0,0.0,0,4.01
52,106,,23.0,4,1895,1.0,7,1895,4.0,3.0,0.0,0.0,70,70,7,3,0,3,1,0,0,0.0,0,4.01
53,108,,7.0,4,1939,8.0,4,1939,2.0,2.0,,,2,2,14,4,0,1,1,0,0,0.0,0,4.01
54,109,,,9,1904,,10,1904,5.0,3.0,0.0,0.0,61,2,10,3,0,1,1,0,0,0.0,0,4.01
55,111,,22.0,11,1934,9.0,5,1936,1.0,2.0,6.0,,535,535,20,5,1,2,1,0,0,0.0,0,4.01
56,112,,7.0,9,1860,29.0,9,1860,1.0,2.0,6.0,,23,23,20,5,1,1,2,0,0,0.0,0,4.01
57,113,,18.0,9,1860,13.0,2,1861,1.0,2.0,6.0,,149,149,20,5,1,1,2,0,0,0.0,0,4.01
58,114,,12.0,9,1911,18.0,10,1911,1.0,1.0,6.0,,37,37,20,5,1,1,1,0,0,0.0,0,4.01
59,115,,29.0,1,1859,12.0,7,1859,2.0,1.0,6.0,,165,165,20,5,1,2,2,0,0,0.0,0,4.01
60,119,,12.0,3,1885,22.0,5,1885,6.0,1.0,0.0,0.0,72,72,10,3,1,1,1,0,0,0.0,0,4.01
61,121,,2.0,7,1853,2.0,7,1853,5.0,3.0,0.0,0.0,1,1,7,3,0,1,1,0,0,0.0,0,4.01
62,122,,25.0,6,1961,28.0,2,1962,5.0,3.0,0.0,0.0,249,249,16,4,1,1,8,0,0,0.0,0,4.01
63,123,,,4,1845,26.0,3,1846,1.0,2.0,,,360,331,17,4,1,2,1,0,0,0.0,0,4.01
64,125,,14.0,5,1958,24.0,10,1958,,,0.0,0.0,164,164,8,3,1,2,3,0,0,0.0,0,4.01
65,126,,,1,1853,25.0,2,1853,4.0,3.0,0.0,0.0,56,26,7,3,0,2,1,0,0,0.0,0,4.01
66,127,,3.0,3,1921,5.0,11,1921,6.0,1.0,0.0,0.0,248,248,14,4,0,4,1,0,0,0.0,0,4.01
67,128,,11.0,1,1905,6.0,12,1905,4.0,1.0,0.0,0.0,330,330,14,4,0,5,1,0,0,0.0,0,4.01
68,129,,18.0,9,1931,31.0,5,1933,1.0,2.0,6.0,,622,622,20,5,1,1,1,0,0,0.0,0,4.01
69,131,,14.0,9,1899,,4,1900,4.0,1.0,0.0,0.0,229,200,10,3,1,1,2,0,0,0.0,0,4.01
70,133,,11.0,1,1923,15.0,1,1923,6.0,1.0,,,5,5,17,4,1,1,3,0,0,0.0,0,4.01
71,134,,20.0,3,1939,23.0,3,1939,4.0,3.0,0.0,0.0,4,4,14,4,0,1,1,0,0,0.0,0,4.01
72,135,,31.0,10,1861,5.0,2,1867,2.0,2.0,6.0,,1924,1924,20,5,1,3,1,0,0,0.0,0,4.01
73,136,,9.0,4,1914,23.0,11,1914,1.0,2.0,4.0,,229,229,17,4,1,1,1,0,0,0.0,0,4.01
74,137,,4.0,5,1831,11.0,5,1831,5.0,3.0,0.0,0.0,8,8,7,3,0,1,1,0,0,0.0,0,4.01
75,139,,,12,1934,2.0,2,1935,3.0,2.0,2.0,,64,34,17,4,1,1,1,0,0,0.0,0,4.01
76,141,,7.0,6,1880,25.0,2,1881,4.0,1.0,0.0,0.0,264,264,10,3,1,7,1,0,0,0.0,0,4.01
77,142,,18.0,7,1821,10.0,8,1821,5.0,3.0,0.0,0.0,24,24,15,4,1,1,1,0,0,0.0,0,4.01
78,144,,9.0,7,1854,,10,1854,5.0,3.0,0.0,0.0,115,85,16,4,1,1,1,0,0,0.0,0,4.01
79,145,,5.0,1,1927,28.0,3,1927,5.0,3.0,,,83,83,17,4,1,7,1,0,0,0.0,0,4.01
80,146,,16.0,8,1827,,4,1828,1.0,2.0,6.0,,259,230,16,4,1,3,1,0,0,0.0,0,4.01
81,147,,,1,1821,24.0,3,1821,1.0,2.0,2.0,,83,53,17,4,1,1,1,0,0,0.0,0,4.01
82,148,,22.0,4,1959,1.0,8,1960,5.0,3.0,1.0,,468,468,17,4,1,1,1,0,0,0.0,0,4.01
