,DispNum3,DispNum4,StAbb,ccode,StDay,StMon,StYear,EndDay,EndMon,EndYear,SideA,RevState,RevType1,RevType2,Fatality,FataPre,HiAct,HostLev,Orig,Version
0,2,,UKG,200,,7,1902,24.0,1,1903,0,1,1,,0.0,0.0,0,1,1,4.01
1,2,,USA,2,,7,1902,24.0,1,1903,1,1,1,,0.0,0.0,7,3,1,4.01
2,3,,YUG,345,2.0,5,1913,25.0,10,1913,0,0,0,,0.0,0.0,0,1,1,4.01
3,3,,AUH,300,2.0,5,1913,25.0,10,1913,1,1,2,,0.0,0.0,8,3,1,4.01
4,4,,ALB,339,15.0,5,1946,13.0,11,1946,1,0,0,,0.0,0.0,16,4,1,4.01
5,4,,UKG,200,15.0,5,1946,13.0,11,1946,0,0,0,,2.0,,7,3,1,4.01
6,7,,UKG,200,13.0,10,1951,26.0,1,1952,1,0,0,,1.0,,17,4,1,4.01
7,7,,EGY,651,13.0,10,1951,26.0,1,1952,0,1,2,,2.0,,17,4,1,4.01
8,8,,IRN,630,,7,1856,14.0,3,1857,0,0,0,,6.0,,20,5,1,4.01
9,8,,UKG,200,,7,1856,14.0,3,1857,1,1,2,,6.0,,20,5,1,4.01
10,9,,POR,235,29.0,12,1889,10.0,1,1890,0,0,0,,0.0,0.0,0,1,1,4.01
11,9,,UKG,200,29.0,12,1889,10.0,1,1890,1,1,1,,0.0,0.0,7,3,1,4.01
12,11,,AUS,305,11.0,3,1938,12.0,3,1938,0,0,0,,0.0,0.0,0,1,1,4.01
13,11,,GMY,255,11.0,3,1938,12.0,3,1938,1,1,1,,0.0,0.0,14,4,1,4.01
14,12,,USR,365,16.0,9,1938,30.0,9,1938,0,0,0,,0.0,0.0,7,3,0,4.01
15,12,,BEL,211,7.0,9,1938,30.0,9,1938,0,0,0,,0.0,0.0,7,3,0,4.01
16,12,,UKG,200,26.0,8,1938,30.0,9,1938,0,0,0,,0.0,0.0,7,3,0,4.01
17,12,,FRN,220,7.0,9,1938,30.0,9,1938,0,0,0,,0.0,0.0,10,3,0,4.01
18,12,,GMY,255,11.0,3,1938,30.0,9,1938,1,1,1,,0.0,0.0,16,4,1,4.01
19,12,,CZE,315,11.0,3,1938,30.0,9,1938,0,0,0,,0.0,0.0,16,4,1,4.01
20,13,,JPN,740,6.0,4,1863,17.0,8,1863,0,0,0,,,,0,1,1,4.01
21,13,,UKG,200,6.0,4,1863,17.0,8,1863,1,1,2,,,,15,4,1,4.01
22,13,,USA,2,20.0,7,1863,20.0,7,1863,1,0,0,,0.0,0.0,1,2,0,4.01
23,13,,FRN,220,20.0,7,1863,20.0,7,1863,1,0,0,,0.0,0.0,1,2,0,4.01
24,14,,TUR,640,15.0,10,1895,31.0,12,1895,0,0,0,,0.0,0.0,0,1,1,4.01
25,14,,UKG,200,15.0,10,1895,31.0,12,1895,1,1,2,,0.0,0.0,7,3,1,4.01
26,15,,USA,2,,1,1839,23.0,3,1839,1,1,1,,0.0,0.0,7,3,1,4.01
27,15,,UKG,200,,1,1839,23.0,3,1839,0,1,1,,0.0,0.0,15,4,1,4.01
28,16,,KOR,730,25.0,12,1897,5.0,2,1898,0,0,0,,0.0,0.0,0,1,1,4.01
29,16,,USR,365,25.0,12,1897,5.0,2,1898,0,0,0,,0.0,0.0,0,1,1,4.01
30,16,,JPN,740,25.0,12,1897,5.0,2,1898,1,1,2,,0.0,0.0,7,3,1,4.01
31,16,,UKG,200,25.0,12,1897,5.0,2,1898,1,1,2,,0.0,0.0,7,3,1,4.01
32,19,,TUS,337,1.0,3,1848,9.0,8,1848,0,0,0,,2.0,,20,5,0,4.01
33,19,,MOD,332,1.0,3,1848,9.0,8,1848,0,0,0,,2.0,,20,5,0,4.01
34,19,,ITA,325,15.0,1,1848,23.0,3,1849,0,1,1,,6.0,,20,5,1,4.01
35,19,,AUH,300,15.0,1,1848,23.0,3,1849,1,0,0,,6.0,,20,5,1,4.01
36,20,,IRN,630,18.0,11,1945,9.0,5,1946,0,0,0,,0.0,0.0,0,1,1,4.01
37,20,,USR,365,18.0,11,1945,9.0,5,1946,1,1,2,,0.0,0.0,7,3,1,4.01
38,21,,YUG,345,21.0,11,1912,3.0,12,1912,0,1,1,,0.0,0.0,0,1,1,4.01
39,21,,USR,365,21.0,11,1912,3.0,12,1912,0,1,2,,0.0,0.0,0,1,1,4.01
40,21,,AUH,300,21.0,11,1912,3.0,12,1912,1,1,2,,0.0,0.0,10,3,1,4.01
41,22,,USR,365,9.0,6,1940,17.0,6,1940,1,1,1,,,,16,4,1,4.01
42,22,,LAT,367,9.0,6,1940,17.0,6,1940,0,0,0,,,,16,4,1,4.01
43,23,,EST,366,,3,1939,18.0,10,1939,0,0,0,,0.0,0.0,0,1,1,4.01
44,23,,USR,365,,3,1939,18.0,10,1939,1,1,2,,0.0,0.0,13,4,1,4.01
45,25,,UKG,200,10.0,8,1831,2.0,2,1832,0,0,0,,0.0,0.0,7,3,0,4.01
46,25,,NTH,210,2.0,8,1831,2.0,2,1832,1,1,1,,,,17,4,1,4.01
47,25,,BEL,211,2.0,8,1831,2.0,2,1832,0,0,0,,,,17,4,1,4.01
48,25,,FRN,220,10.0,8,1831,15.0,8,1831,0,0,0,,,,16,4,0,4.01
49,26,,USA,2,21.0,3,1948,25.0,7,1949,0,0,0,,0.0,0.0,13,4,1,4.01
50,26,,UKG,200,21.0,3,1948,25.0,7,1949,0,0,0,,0.0,0.0,13,4,1,4.01
51,26,,FRN,220,21.0,3,1948,25.0,7,1949,0,0,0,,0.0,0.0,13,4,1,4.01
52,26,,USR,365,21.0,3,1948,25.0,7,1949,1,1,1,,0.0,0.0,16,4,1,4.01
53,27,,CZE,315,18.0,10,1961,28.0,10,1961,0,0,0,,0.0,0.0,7,3,0,4.01
54,27,,POL,290,18.0,10,1961,28.0,10,1961,0,0,0,,0.0,0.0,7,3,0,4.01
55,27,,UKG,200,13.0,8,1961,28.0,10,1961,1,0,0,,0.0,0.0,7,3,0,4.01
56,27,,FRN,220,13.0,8,1961,28.0,10,1961,1,0,0,,0.0,0.0,7,3,0,4.01
57,27,,USA,2,25.0,7,1961,28.0,10,1961,1,0,0,,0.0,0.0,10,3,1,4.01
58,27,,GDR,265,13.0,8,1961,28.0,10,1961,0,1,2,,0.0,0.0,13,4,0,4.01
59,27,,USR,365,25.0,7,1961,28.0,10,1961,0,1,2,,0.0,0.0,13,4,1,4.01
60,27,,GFR,260,13.0,8,1961,28.0,10,1961,1,0,0,,0.0,0.0,17,4,0,4.01
61,28,,FRN,220,19.0,7,1961,5.0,9,1961,0,0,0,,1.0,,17,4,1,4.01
62,28,,TUN,616,19.0,7,1961,5.0,9,1961,1,1,2,,3.0,,13,4,1,4.01
63,30,,AUH,300,6.0,10,1908,31.0,3,1909,0,0,0,,,,17,4,1,4.01
64,30,,YUG,345,6.0,10,1908,31.0,3,1909,1,1,1,,,,17,4,1,4.01
65,31,,AUH,300,30.0,5,1900,16.0,8,1900,1,0,0,,1.0,,16,4,1,4.01
