DispNum3,DispNum4_A,StDay_A,StMon_A,StYear_A,EndDay_A,EndMon_A,EndYear_A,Outcome,Settle,Fatality_A,FatalPre,MaxDur,MinDur,HiAct_A,HostLev_A,Recip,NumA,NumB,Link1,Link2,Link3,Ongo2010,Version_A,DispNum4_B,StAbb,ccode,StDay_B,StMon_B,StYear_B,EndDay_B,EndMon_B,EndYear_B,SideA,RevState,RevType1,RevType2,Fatality_B,FataPre,HiAct_B,HostLev_B,Orig,Version_B,Stalemate
2,nan,nan,7,1902,24.0,1,1903,6.0,1.0,0.0,0.0,208,178,7,3,0,1,1,0,0,0.0,0,4.01,nan,UKG,200,nan,7,1902,24.0,1,1903,0,1,1,nan,0.0,0.0,0,1,1,4.01,0
2,nan,nan,7,1902,24.0,1,1903,6.0,1.0,0.0,0.0,208,178,7,3,0,1,1,0,0,0.0,0,4.01,nan,USA,2,nan,7,1902,24.0,1,1903,1,1,1,nan,0.0,0.0,7,3,1,4.01,0
3,nan,2.0,5,1913,25.0,10,1913,4.0,3.0,0.0,0.0,177,177,8,3,0,1,1,0,0,0.0,0,4.01,nan,YUG,345,2.0,5,1913,25.0,10,1913,0,0,0,nan,0.0,0.0,0,1,1,4.01,0
3,nan,2.0,5,1913,25.0,10,1913,4.0,3.0,0.0,0.0,177,177,8,3,0,1,1,0,0,0.0,0,4.01,nan,AUH,300,2.0,5,1913,25.0,10,1913,1,1,2,nan,0.0,0.0,8,3,1,4.01,0
4,nan,15.0,5,1946,13.0,11,1946,5.0,3.0,2.0,nan,183,183,16,4,1,1,1,0,0,0.0,0,4.01,nan,ALB,339,15.0,5,1946,13.0,11,1946,1,0,0,nan,0.0,0.0,16,4,1,4.01,1
4,nan,15.0,5,1946,13.0,11,1946,5.0,3.0,2.0,nan,183,183,16,4,1,1,1,0,0,0.0,0,4.01,nan,UKG,200,15.0,5,1946,13.0,11,1946,0,0,0,nan,2.0,nan,7,3,1,4.01,1
7,nan,13.0,10,1951,26.0,1,1952,1.0,3.0,2.0,nan,106,106,17,4,1,1,1,0,0,0.0,0,4.01,nan,UKG,200,13.0,10,1951,26.0,1,1952,1,0,0,nan,1.0,nan,17,4,1,4.01,0
7,nan,13.0,10,1951,26.0,1,1952,1.0,3.0,2.0,nan,106,106,17,4,1,1,1,0,0,0.0,0,4.01,nan,EGY,651,13.0,10,1951,26.0,1,1952,0,1,2,nan,2.0,nan,17,4,1,4.01,0
8,nan,nan,7,1856,14.0,3,1857,1.0,2.0,6.0,nan,257,227,20,5,1,1,1,0,0,0.0,0,4.01,nan,IRN,630,nan,7,1856,14.0,3,1857,0,0,0,nan,6.0,nan,20,5,1,4.01,0
8,nan,nan,7,1856,14.0,3,1857,1.0,2.0,6.0,nan,257,227,20,5,1,1,1,0,0,0.0,0,4.01,nan,UKG,200,nan,7,1856,14.0,3,1857,1,1,2,nan,6.0,nan,20,5,1,4.01,0
9,nan,29.0,12,1889,10.0,1,1890,6.0,1.0,0.0,0.0,13,13,7,3,0,1,1,0,0,0.0,0,4.01,nan,POR,235,29.0,12,1889,10.0,1,1890,0,0,0,nan,0.0,0.0,0,1,1,4.01,0
9,nan,29.0,12,1889,10.0,1,1890,6.0,1.0,0.0,0.0,13,13,7,3,0,1,1,0,0,0.0,0,4.01,nan,UKG,200,29.0,12,1889,10.0,1,1890,1,1,1,nan,0.0,0.0,7,3,1,4.01,0
11,nan,11.0,3,1938,12.0,3,1938,4.0,1.0,0.0,0.0,2,2,14,4,0,1,1,0,0,0.0,0,4.01,nan,AUS,305,11.0,3,1938,12.0,3,1938,0,0,0,nan,0.0,0.0,0,1,1,4.01,0
11,nan,11.0,3,1938,12.0,3,1938,4.0,1.0,0.0,0.0,2,2,14,4,0,1,1,0,0,0.0,0,4.01,nan,GMY,255,11.0,3,1938,12.0,3,1938,1,1,1,nan,0.0,0.0,14,4,1,4.01,0
12,nan,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01,nan,USR,365,16.0,9,1938,30.0,9,1938,0,0,0,nan,0.0,0.0,7,3,0,4.01,0
12,nan,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01,nan,BEL,211,7.0,9,1938,30.0,9,1938,0,0,0,nan,0.0,0.0,7,3,0,4.01,0
12,nan,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01,nan,UKG,200,26.0,8,1938,30.0,9,1938,0,0,0,nan,0.0,0.0,7,3,0,4.01,0
12,nan,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01,nan,FRN,220,7.0,9,1938,30.0,9,1938,0,0,0,nan,0.0,0.0,10,3,0,4.01,0
12,nan,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01,nan,GMY,255,11.0,3,1938,30.0,9,1938,1,1,1,nan,0.0,0.0,16,4,1,4.01,0
12,nan,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01,nan,CZE,315,11.0,3,1938,30.0,9,1938,0,0,0,nan,0.0,0.0,16,4,1,4.01,0
13,nan,6.0,4,1863,17.0,8,1863,1.0,2.0,nan,nan,134,134,15,4,0,3,1,0,0,0.0,0,4.01,nan,JPN,740,6.0,4,1863,17.0,8,1863,0,0,0,nan,nan,nan,0,1,1,4.01,0
13,nan,6.0,4,1863,17.0,8,1863,1.0,2.0,nan,nan,134,134,15,4,0,3,1,0,0,0.0,0,4.01,nan,UKG,200,6.0,4,1863,17.0,8,1863,1,1,2,nan,nan,nan,15,4,1,4.01,0
13,nan,6.0,4,1863,17.0,8,1863,1.0,2.0,nan,nan,134,134,15,4,0,3,1,0,0,0.0,0,4.01,nan,USA,2,20.0,7,1863,20.0,7,1863,1,0,0,nan,0.0,0.0,1,2,0,4.01,0
13,nan,6.0,4,1863,17.0,8,1863,1.0,2.0,nan,nan,134,134,15,4,0,3,1,0,0,0.0,0,4.01,nan,FRN,220,20.0,7,1863,20.0,7,1863,1,0,0,nan,0.0,0.0,1,2,0,4.01,0
14,nan,15.0,10,1895,31.0,12,1895,4.0,3.0,0.0,0.0,78,78,7,3,0,1,1,0,0,0.0,0,4.01,nan,TUR,640,15.0,10,1895,31.0,12,1895,0,0,0,nan,0.0,0.0,0,1,1,4.01,0
14,nan,15.0,10,1895,31.0,12,1895,4.0,3.0,0.0,0.0,78,78,7,3,0,1,1,0,0,0.0,0,4.01,nan,UKG,200,15.0,10,1895,31.0,12,1895,1,1,2,nan,0.0,0.0,7,3,1,4.01,0
15,nan,nan,1,1839,23.0,3,1839,6.0,1.0,0.0,0.0,82,52,15,4,1,1,1,0,0,0.0,0,4.01,nan,USA,2,nan,1,1839,23.0,3,1839,1,1,1,nan,0.0,0.0,7,3,1,4.01,0
15,nan,nan,1,1839,23.0,3,1839,6.0,1.0,0.0,0.0,82,52,15,4,1,1,1,0,0,0.0,0,4.01,nan,UKG,200,nan,1,1839,23.0,3,1839,0,1,1,nan,0.0,0.0,15,4,1,4.01,0
16,nan,25.0,12,1897,5.0,2,1898,4.0,3.0,0.0,0.0,43,43,7,3,0,2,2,0,0,0.0,0,4.01,nan,KOR,730,25.0,12,1897,5.0,2,1898,0,0,0,nan,0.0,0.0,0,1,1,4.01,0
16,nan,25.0,12,1897,5.0,2,1898,4.0,3.0,0.0,0.0,43,43,7,3,0,2,2,0,0,0.0,0,4.01,nan,USR,365,25.0,12,1897,5.0,2,1898,0,0,0,nan,0.0,0.0,0,1,1,4.01,0
16,nan,25.0,12,1897,5.0,2,1898,4.0,3.0,0.0,0.0,43,43,7,3,0,2,2,0,0,0.0,0,4.01,nan,JPN,740,25.0,12,1897,5.0,2,1898,1,1,2,nan,0.0,0.0,7,3,1,4.01,0
16,nan,25.0,12,1897,5.0,2,1898,4.0,3.0,0.0,0.0,43,43,7,3,0,2,2,0,0,0.0,0,4.01,nan,UKG,200,25.0,12,1897,5.0,2,1898,1,1,2,nan,0.0,0.0,7,3,1,4.01,0
19,nan,15.0,1,1848,23.0,3,1849,5.0,1.0,6.0,nan,434,434,20,5,1,1,3,0,0,0.0,0,4.01,nan,TUS,337,1.0,3,1848,9.0,8,1848,0,0,0,nan,2.0,nan,20,5,0,4.01,1
19,nan,15.0,1,1848,23.0,3,1849,5.0,1.0,6.0,nan,434,434,20,5,1,1,3,0,0,0.0,0,4.01,nan,MOD,332,1.0,3,1848,9.0,8,1848,0,0,0,nan,2.0,nan,20,5,0,4.01,1
19,nan,15.0,1,1848,23.0,3,1849,5.0,1.0,6.0,nan,434,434,20,5,1,1,3,0,0,0.0,0,4.01,nan,ITA,325,15.0,1,1848,23.0,3,1849,0,1,1,nan,6.0,nan,20,5,1,4.01,1
19,nan,15.0,1,1848,23.0,3,1849,5.0,1.0,6.0,nan,434,434,20,5,1,1,3,0,0,0.0,0,4.01,nan,AUH,300,15.0,1,1848,23.0,3,1849,1,0,0,nan,6.0,nan,20,5,1,4.01,1
20,nan,18.0,11,1945,9.0,5,1946,3.0,1.0,0.0,0.0,173,173,7,3,0,1,1,0,0,0.0,0,4.01,nan,IRN,630,18.0,11,1945,9.0,5,1946,0,0,0,nan,0.0,0.0,0,1,1,4.01,0
