,DispNum3,DispNum4_A,StDay_A,StMon_A,StYear_A,EndDay_A,EndMon_A,EndYear_A,Outcome,Settle,Fatality_A,FatalPre,MaxDur,MinDur,HiAct_A,HostLev_A,Recip,NumA,NumB,Link1,Link2,Link3,Ongo2010,Version_A,DispNum4_B,StAbb,ccode,StDay_B,StMon_B,StYear_B,EndDay_B,EndMon_B,EndYear_B,SideA,RevState,RevType1,RevType2,Fatality_B,FataPre,HiAct_B,HostLev_B,Orig,Version_B,Stalemate
0,2,-9.0,-9.0,7,1902,24.0,1,1903,6.0,1.0,0.0,0.0,208,178,7,3,0,1,1,0,0,0.0,0,4.01,-9.0,UKG,200,-9.0,7,1902,24.0,1,1903,0,1,1,-9.0,0.0,0.0,0,1,1,4.01,0
1,2,-9.0,-9.0,7,1902,24.0,1,1903,6.0,1.0,0.0,0.0,208,178,7,3,0,1,1,0,0,0.0,0,4.01,-9.0,USA,2,-9.0,7,1902,24.0,1,1903,1,1,1,-9.0,0.0,0.0,7,3,1,4.01,0
2,3,-9.0,2.0,5,1913,25.0,10,1913,4.0,3.0,0.0,0.0,177,177,8,3,0,1,1,0,0,0.0,0,4.01,-9.0,YUG,345,2.0,5,1913,25.0,10,1913,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
3,3,-9.0,2.0,5,1913,25.0,10,1913,4.0,3.0,0.0,0.0,177,177,8,3,0,1,1,0,0,0.0,0,4.01,-9.0,AUH,300,2.0,5,1913,25.0,10,1913,1,1,2,-9.0,0.0,0.0,8,3,1,4.01,0
4,7,-9.0,13.0,10,1951,26.0,1,1952,1.0,3.0,2.0,-9.0,106,106,17,4,1,1,1,0,0,0.0,0,4.01,-9.0,UKG,200,13.0,10,1951,26.0,1,1952,1,0,0,-9.0,1.0,-9.0,17,4,1,4.01,0
5,7,-9.0,13.0,10,1951,26.0,1,1952,1.0,3.0,2.0,-9.0,106,106,17,4,1,1,1,0,0,0.0,0,4.01,-9.0,EGY,651,13.0,10,1951,26.0,1,1952,0,1,2,-9.0,2.0,-9.0,17,4,1,4.01,0
6,8,-9.0,-9.0,7,1856,14.0,3,1857,1.0,2.0,6.0,-9.0,257,227,20,5,1,1,1,0,0,0.0,0,4.01,-9.0,IRN,630,-9.0,7,1856,14.0,3,1857,0,0,0,-9.0,6.0,-9.0,20,5,1,4.01,0
7,8,-9.0,-9.0,7,1856,14.0,3,1857,1.0,2.0,6.0,-9.0,257,227,20,5,1,1,1,0,0,0.0,0,4.01,-9.0,UKG,200,-9.0,7,1856,14.0,3,1857,1,1,2,-9.0,6.0,-9.0,20,5,1,4.01,0
8,9,-9.0,29.0,12,1889,10.0,1,1890,6.0,1.0,0.0,0.0,13,13,7,3,0,1,1,0,0,0.0,0,4.01,-9.0,POR,235,29.0,12,1889,10.0,1,1890,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
9,9,-9.0,29.0,12,1889,10.0,1,1890,6.0,1.0,0.0,0.0,13,13,7,3,0,1,1,0,0,0.0,0,4.01,-9.0,UKG,200,29.0,12,1889,10.0,1,1890,1,1,1,-9.0,0.0,0.0,7,3,1,4.01,0
10,11,-9.0,11.0,3,1938,12.0,3,1938,4.0,1.0,0.0,0.0,2,2,14,4,0,1,1,0,0,0.0,0,4.01,-9.0,AUS,305,11.0,3,1938,12.0,3,1938,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
11,11,-9.0,11.0,3,1938,12.0,3,1938,4.0,1.0,0.0,0.0,2,2,14,4,0,1,1,0,0,0.0,0,4.01,-9.0,GMY,255,11.0,3,1938,12.0,3,1938,1,1,1,-9.0,0.0,0.0,14,4,1,4.01,0
12,12,-9.0,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01,-9.0,USR,365,16.0,9,1938,30.0,9,1938,0,0,0,-9.0,0.0,0.0,7,3,0,4.01,0
13,12,-9.0,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01,-9.0,BEL,211,7.0,9,1938,30.0,9,1938,0,0,0,-9.0,0.0,0.0,7,3,0,4.01,0
14,12,-9.0,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01,-9.0,UKG,200,26.0,8,1938,30.0,9,1938,0,0,0,-9.0,0.0,0.0,7,3,0,4.01,0
15,12,-9.0,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01,-9.0,FRN,220,7.0,9,1938,30.0,9,1938,0,0,0,-9.0,0.0,0.0,10,3,0,4.01,0
16,12,-9.0,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01,-9.0,GMY,255,11.0,3,1938,30.0,9,1938,1,1,1,-9.0,0.0,0.0,16,4,1,4.01,0
17,12,-9.0,11.0,3,1938,30.0,9,1938,4.0,1.0,0.0,0.0,204,204,16,4,1,1,5,0,0,0.0,0,4.01,-9.0,CZE,315,11.0,3,1938,30.0,9,1938,0,0,0,-9.0,0.0,0.0,16,4,1,4.01,0
18,13,-9.0,6.0,4,1863,17.0,8,1863,1.0,2.0,-9.0,-9.0,134,134,15,4,0,3,1,0,0,0.0,0,4.01,-9.0,JPN,740,6.0,4,1863,17.0,8,1863,0,0,0,-9.0,-9.0,-9.0,0,1,1,4.01,0
19,13,-9.0,6.0,4,1863,17.0,8,1863,1.0,2.0,-9.0,-9.0,134,134,15,4,0,3,1,0,0,0.0,0,4.01,-9.0,UKG,200,6.0,4,1863,17.0,8,1863,1,1,2,-9.0,-9.0,-9.0,15,4,1,4.01,0
20,13,-9.0,6.0,4,1863,17.0,8,1863,1.0,2.0,-9.0,-9.0,134,134,15,4,0,3,1,0,0,0.0,0,4.01,-9.0,USA,2,20.0,7,1863,20.0,7,1863,1,0,0,-9.0,0.0,0.0,1,2,0,4.01,0
21,13,-9.0,6.0,4,1863,17.0,8,1863,1.0,2.0,-9.0,-9.0,134,134,15,4,0,3,1,0,0,0.0,0,4.01,-9.0,FRN,220,20.0,7,1863,20.0,7,1863,1,0,0,-9.0,0.0,0.0,1,2,0,4.01,0
22,14,-9.0,15.0,10,1895,31.0,12,1895,4.0,3.0,0.0,0.0,78,78,7,3,0,1,1,0,0,0.0,0,4.01,-9.0,TUR,640,15.0,10,1895,31.0,12,1895,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
23,14,-9.0,15.0,10,1895,31.0,12,1895,4.0,3.0,0.0,0.0,78,78,7,3,0,1,1,0,0,0.0,0,4.01,-9.0,UKG,200,15.0,10,1895,31.0,12,1895,1,1,2,-9.0,0.0,0.0,7,3,1,4.01,0
24,15,-9.0,-9.0,1,1839,23.0,3,1839,6.0,1.0,0.0,0.0,82,52,15,4,1,1,1,0,0,0.0,0,4.01,-9.0,USA,2,-9.0,1,1839,23.0,3,1839,1,1,1,-9.0,0.0,0.0,7,3,1,4.01,0
25,15,-9.0,-9.0,1,1839,23.0,3,1839,6.0,1.0,0.0,0.0,82,52,15,4,1,1,1,0,0,0.0,0,4.01,-9.0,UKG,200,-9.0,1,1839,23.0,3,1839,0,1,1,-9.0,0.0,0.0,15,4,1,4.01,0
26,16,-9.0,25.0,12,1897,5.0,2,1898,4.0,3.0,0.0,0.0,43,43,7,3,0,2,2,0,0,0.0,0,4.01,-9.0,KOR,730,25.0,12,1897,5.0,2,1898,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
27,16,-9.0,25.0,12,1897,5.0,2,1898,4.0,3.0,0.0,0.0,43,43,7,3,0,2,2,0,0,0.0,0,4.01,-9.0,USR,365,25.0,12,1897,5.0,2,1898,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
28,16,-9.0,25.0,12,1897,5.0,2,1898,4.0,3.0,0.0,0.0,43,43,7,3,0,2,2,0,0,0.0,0,4.01,-9.0,JPN,740,25.0,12,1897,5.0,2,1898,1,1,2,-9.0,0.0,0.0,7,3,1,4.01,0
29,16,-9.0,25.0,12,1897,5.0,2,1898,4.0,3.0,0.0,0.0,43,43,7,3,0,2,2,0,0,0.0,0,4.01,-9.0,UKG,200,25.0,12,1897,5.0,2,1898,1,1,2,-9.0,0.0,0.0,7,3,1,4.01,0
30,20,-9.0,18.0,11,1945,9.0,5,1946,3.0,1.0,0.0,0.0,173,173,7,3,0,1,1,0,0,0.0,0,4.01,-9.0,IRN,630,18.0,11,1945,9.0,5,1946,0,0,0,-9.0,0.0,0.0,0,1,1,4.01,0
31,20,-9.0,18.0,11,1945,9.0,5,1946,3.0,1.0,0.0,0.0,173,173,7,3,0,1,1,0,0,0.0,0,4.01,-9.0,USR,365,18.0,11,1945,9.0,5,1946,1,1,2,-9.0,0.0,0.0,7,3,1,4.01,0
32,22,-9.0,9.0,6,1940,17.0,6,1940,1.0,2.0,-9.0,-9.0,9,9,16,4,1,1,1,0,0,0.0,0,4.01,-9.0,USR,365,9.0,6,1940,17.0,6,1940,1,1,1,-9.0,-9.0,-9.0,16,4,1,4.01,0
